,Unnamed: 0,text,label
0,0,bhaarata ke videsha ma.mtraalaya paakistaa raajaduuta bula paakistaa bala dvaara nirdoSha naagarika jaanabuujha nisha bana kaDa़ shabda ni.mda,0
1,1,bihaara taarakishora prasaada biijepa vidhaayaka dala chu ke charcha sushiila moda jagaha vo niitiisha kumaara ke upakaptaana raha,0
2,2,buuma paaya piiema moda apa kariiba sahaya aaraesaesa praphulbha dosha mauta ke jula 2016 kiya,1
3,3,buuma paaya tasviira chaara saala puraa thaaii inDoneshiya maleshiyana vebasaaiTa upalabdha,1
4,4,buuma paड़taala saama aaya vaayarala tasviira jula 2019 i.mTaraneTa maujuuda inaka sharaaba dukaana ke khula,1
5,5,saala ke aakha़ra kisaana aa.mdolana surkha baTora,0
6,6,buuma motihaara ke sahaayaka pulisa adhiikShaka baata baata puShTa ghaTa motihaara naha,1
7,7,viiDiya uttaraakha.mDa ke mॉka Drila bhaarata amerika ke sa.myukta sainya abhyaasa ke hissa ke ruupa aayojita,1
8,8,baabara muga़la saltanata sthaapa bula.mda ke dina usaka paasa duniya chautha adhika daulata saltanata kShetraphala apha़gaaanistaana sameta lagabhaga puura upamahaadviipa phaila,0
9,9,kisaana aa.mdolana supriima korTa TipaNNa kaarTuuna,0
10,10,buuma paaya vaayarala sa.mdesha maayana bhraamaka hai.,1
11,11,buuma haatharasa piii ke bhaaii sa.mparka kiya baata puShTa tasviira dikha raha mahila usaka maaँ,1
12,12,buuma paaya tasviira muula ruupa philma naaina ऑvarsa Tuu raama liya gaya skriinashॉTa,1
13,13,buuma paaya oTa 5 nava.mbara 2019 dilla pulisa ke pradarshana jisama nyaaya maa.mga raha,1
14,14,vaayarala posTa daava rashiyana sarakaara deshavaasiya ke svaastha kalyaaNa ke maddenaज़ra skiima shura haalaa.mka,1
15,15,daava kisaana aa.mdolana dilla chala maarcha ke kaaraNa raaShTriya raajadhaa 80 kilomiiTara lamba jaama laga,1
16,16,buuma vaastavika viiDiya khoja disa.mbara 2019 paaya vaayarala posTa ke daava फ़rज़,1
17,17,buuma paaya vaayarala skriinashॉTa da vaayara ke lekha krॉpa kiya gaya jisama smR^ita iiraa jeenaya ke kaaryakrama,1
18,18,buuma paaya muula tasviira eDiTa karaka rohita sharma mu.mbaii i.mDiya.msa ke ruupaa.mkana burja kha़liipha़ laga gaya hai.,1
19,19,bhaarata ke pramukha janarala emaema naravaNa kaha paakistaana chiina mila bhaarata ke kha़tara paida saka,0
20,20,pॉnDichera yuunivarsiTa ke vaaiisa-chaa.msalara daava aariज़ kiya unaka Chaatra koviDa-19 ilaaja Dhuu.mDha,1
21,21,daava kiya raha tasviira pradarshana raha kisaana bhagavaana raama ke virodha bainara le chala raha,1
22,22,aama aadama paarTa ke puurva me.mbara apa TviiTa viiDiya sheyara laga kejariivaala aaropa,1
23,23,buuma paaya vaayarala viiDiya klipa aaTha saala puraa viiDiya raa.msa naha balka turka,1
24,24,फ़rज़ posTa aaropa laga lakShma vilaasa bai.mka apa shaakha dii,1
25,25,tabareja़ a.msaara mauta ke aaraesaesa kaaryakar badala le maa.mga vaala naara saala pura muharrama juluusa ke,1
26,26,vaayarala posTa daava kiya gaya subhaaSha cha.mdra bosa pahala baara i.mDiyana neshnala aarma ke sainika ke muula,1
27,27,daava loga naagarika sa.mshodhana adhiniyama ke ilaaफ़ pradarshana raha kisaana aa.mdolana unha haatha,1
28,28,bhaarata chiina pahala kha़raaba rishta le charcha bana chiina taaja़ samajhau le tiikha pratikriya dii,0
29,29,buuma pesha ilekTriishiyana naiira muhammada baata bata pulisa shikaayata .,1
30,30,bhaarata koro vaayarasa bachaava ke vaiksiina taiyaara vaala ka.mpana bhaarata baayoTeka siirama i.msTiiTyuuTa ऑpha़ i.mDiya ma.mgalavaara saajha bayaana jaara kiya vivaada sulaha kyaa-kya jaana puura baata,0
31,31,buuma pulisa adhiikShaka aabida khaana baata फ़rज़ suucha ke.mdra bana,1
32,32,bihaara chunaava le mithaka charcha khauuba haalaa.mka unaka sachcha kya baata aama loga inha mithaka sacha maana le aisa jaana mithaka kya unaka sachcha kya,0
33,33,krisamasa ke agala dina naama bॉksi.mga De kya rakha gaya kya isaka mukkebaaja़ lenaa-de,0
34,34,buuma paaya prashaasana ke sadasya mauka maujuuda DiTe.mshana se.mTara ke baara baata hai.,1
35,35,buuma paaya Tiivii9 die i.mTaravya vo apa bhaaii dvaara kiya bhadda baata aफ़sosa ghR^iNa raha,1
36,36,dilla ke si.mgha bॉrDara kisaana ke pradarshana aaTha vipakSha paarTa kisaana sa.mgaThana samarthana mila baDa़ sa.mkhya yuunivarsiTa Chaatra pahuँcha,0
37,37,piChala timaaha jiiDiipa lagabhaga 24 phaiisada bhaara giraavaTa darja,0
38,38,viiDiya ke daava kiya gaya mahila salaama #Lovejihad asala matalaba samajha,1
39,39,rohataka jaila mukhyaalaya bhivaa roDa aaTha kilomiiTara mukhyama.mtra manohara laala khaTTara ke gaa.mva apa samasya kisaana ke mudda khaaamosha naha,0
40,40,nae amerika prashaasana chiina niita ke a.mdaaja़ hoga usaka bhaarata kita mahatvapuurNa hoga,0
41,41,vaayarala posTa daava kerala dalita mahila muslima iisaaiiya isala hamala diya kyuu.mka vo puuja raha,1
42,42,bhaarata prashaasita kashmiira enakaau.mTara maamala mejara hatya ke doSha haaphaija़ saiida saaDha़ 15 saala jela saja़ presa rivya,0
43,43,chiina koro vaayarasa ke nae vairie.mTa pahala maamala saama aaya aisa daava kiya raha koro vaayarasa naya vairie.mTa pahala tula 40-70 phaiisada adhika teja़ phaila vaala,0
44,44,buuma paaya muula ruupa yamana ghaTa jaha vyakta bachcha ke balaatkaara usaka hatya ke aaropa saarvajanika,1
45,45,vaayarala viiDiya daava kiya gaya i.mdaura pulisa 1 apraila DॉkTarsa Tiima patharaava vaala piTa buuma,1
46,46,bhaarata laga raha aaropa shaamila vo maaladiiva apa sainya maujuudaga sthaapita chaaha,0
47,47,buuma paaya bhaaratiiya miiDiya chainala TviTara vaayarala viiDiya satya jaa.mcha bagaira ग़lata daava ke ख़bara chala,1
48,48,buuma paaya vaayarala tasviira raajiiva gaa.mdha ruusa hara kR^iShNa bhakta dilla mulaakaata ke lii gaya,1
49,49,amerikana sarphara ke viiDiya bhaaratiiya sainika bata kiya raha soshala miiDiya vaayarala,1
50,50,hissa jaha moda pariikSha bhaaga le biie emae Digra praapta ke baara bola raha divya,1
51,51,amita shaaha kisaana ke ma.mgalavaara raata baatachiita ke sarakaara budhavaara kisaana likhita prastaava bheja kisaana khaaarija diya,0
52,52,buuma paaya muula tasviira nare.mdra moda araba amiira Topa naha paha,1
53,53,soshala miiDiya vaayarala sa.mdesha daava kiya gaya be.mgalura ke nagarabhava bachcha apaharaNa liya gaya,1
54,54,arnaba gosvaama giraphataara piiema moda le ma.mtra TviiTa kiya giraphataara aalocha,0
55,55,bhaarata sarakaara ke pravak kiya daava kha.mDana,1
56,56,buuma paaya tasviira 2018 maamala kiDa pathara nikalava aaya mariiज़ ke parivaara DॉkTara kiDa,1
57,57,jasTisa khan apa virodha phaaisala kaha nirNaya le prakriya jana hissedaara mashii prakriya aupachaarika bhara naha saka,0
58,58,vaaiiesaaarasiipa ke pravak daava kha.mDana kiya kaha jagana yiisha ke sachcha vishvaasa sabha dharma sammaana,1
59,59,buuma pata laga asala tasviira gahalota varSha 2018 raajasthaana ase.mbala chunaava jiita usha mana naज़ra aa raha,1
60,60,jaha mahila kruura hamala ke mukhya aaropa kaa.mgresa kaau.msilara ke bhaaii vaayarala posTa viiDiya moda,1
61,61,siraaja sa.mkalpa pa.mta paripakva shubhamana sa.myama pujaara parishrama shaardula su.mdara saahasa daasta bhaarata yuva shakta,0
62,62,buuma paaya vaayarala viiDiya tatkaaliina arje.mTii ke raaShTrapata maarisiya maikra chunaava prachaara dikha gaya hai.,1
63,63,buuma paaya shivaaja ke $ 100 Dॉlara noTa nakala amerika 19 pharavara Chatrapata shivaaja divasa ghoShita naha kiya,1
64,64,viiDiya daraasala 2017 uttara pradesha nikaaya chunaava ke iviema gaड़baड़ sa.mba.mddhita,1
65,65,bhaarata koro TiikaakaraNa shura tiina dina chuka bhaarata sarakaara ke svaasthya ma.mtraalaya ke mutaabika़ 3 laakha 81 hajaaara jayaada loga koro Tiika laga chuka,0
66,66,daava kiya raha bhaajapa kisaana aa.mdolana ke kaaraNa phuuTa paड़,1
67,67,vaayarala posTa jhuuTha daava kiya gaya sachina te.mdula koronaavaayarasa ke prakopa ke kaaraNa maa.msa bikra baina laga ke,1
68,68,soshala miiDiya yuuज़ra tasviira haidaraabaada nagara nigama chunaava joड़ sheyara raha hai.m.,1
69,69,buuma paaya viiDiya 2019 mukhyama.mtra gahalota Duu.mgarapura daura ke galiyaakoTa sthita saiyada phakharuddiina shahiida maaara,1
70,70,buuma amR^itasara graamiiNa pulisa vaayarala daava aarija bata mahila sipaaha mauta saड़ka durghaTa thii.,1
71,71,buuma paaya plekaarDa tasviira shabda badala hai.m.,1
72,72,sikha prachaaraka raama si.mha apa susaaiDa noTa likha vo kisaana dukha bardaashta naha paa raha,0
73,73,Draga ka.mTrolara janarala ऑpha़ i.mDiya Diisiijiiaaii ravivaara koviDa-19 ke ilaaja ke vaiksiina ke aapaatakaaliina istemaala anumata de dii,0
74,74,viiDiya harayaaNa samuuha dvaara gaaya tas maarapiiTa bhraamaka daava ke ira soshala miiDiya vaayarala,1
75,75,paira laga spri.mga madada vo chala saka aasaa naha saala niiTa pariikSha paasa emabiibiiesa paDha़ shura vaala riTaayarDa adhikaara,0
76,76,ramesha pokhariyaala nisha.mka guruvaara 31 disa.mbara dasava baarahava borDa pariikSha taariikha़ ailaana kiya,0
77,77,16 disa.mbara 1971 paakistaa bhaarata ke saama samarpaNa kiya usaka taiyaara mejara janarala jeepha़aara jaikaba bata kya,0
78,78,buuma paaya sTaarTa-apa tasviira be.mgalura 2019 shura kiya gaya,1
