,Unnamed: 0,text,label
0,0,Love u sir love u soo much urs I'ts beautyful vedio ...,0
1,1,Arae sur jee pahelae hamare bharat ke bachho ka parao.... Firr vedesh may jao yaar,1
2,2,Wah! Jitni sundar geet ke bhao hain utnihi sundar aur sureeli aawaz hai .,0
3,3,Sundar ekdam sahi Gaya Hua gana.chhotisi gudiya ko naman,0
4,4,Wao lata mangekar,0
5,5,"Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.",0
6,6,Joy hind joy hindMeri bhatan tuje salamModi ji aapko salam,0
7,7,Kash Modiji Aap Manmohan Singh se phly aa gy hoty....aj 2015 humara Desh kha phuch gya hota,0
8,8,India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai,0
9,9,:o :o :o,1
10,10,Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikha denge ye to sirf Turkmenistan. hi hai.. Great MODi ji .........great,0
11,11,modiji duniya k masiha he...kafi ku6 kiya he or aage bhi karna he....,0
12,12,BaH Guruji Kya style hai apka duniyako hila ke chhore hain.,0
13,13,Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...,0
14,14,Namaste MAHA MODI ji!!,1
15,15,Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......,0
16,16,V good Modi ji aap lege rahe hum aapke sath he,0
17,17,"fantabulous... We proud of you Modi Ji...Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h... India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h...asha h ki jald hi unme bhi sudhar ayega.",0
18,18,Wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h,0
19,19,its not hindi its urdu and bolywood ager kamyab hai tu Urdu ki waja say,1
20,20,"Narendra Modi Yeh kya bakchodi pel rahe ho facebook pe, kaam karlo plz!",0
21,21,Kash ye sab bangladesh aur pakistan b gate toh kitna acha hota,1
